Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
wheel118,3.8096E-07,8.5169E-06,2.3151E-11,0,0,0,0.0023,2.1874E-07,6.3055E-16,5.1328E-16,2.4987E-07,-2.3732E-18,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel118.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel118.STL,,omniwheel-1/wheel-18,Origin_wheel118,基准轴118,wheel118,continuous,-0.041495,-0.029023,-0.0048142,0.3261,-1.3411,2.7756,omniwheel1,1,0,0,,,,,,,,,,,,
omniwheel5,-0.0031533,-0.016315,-0.00089375,0,0,0,0.4,5.3777E-05,1.6576E-06,4.008E-08,7.3423E-05,4.9161E-07,5.3674E-05,0,0,0,0,0,0,package://ballbot 3.0/meshes/omniwheel5.STL,1,1,1,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/omniwheel5.STL,,lianzhouqi-5;omniwheel-5/omnidirectionalwheels2-1;omniwheel-5/omnidirectionalwheels-1;omniwheel-5/hex bolts with slot on head grade ab gb-5;omniwheel-5/hex bolts with slot on head grade ab gb-6;omniwheel-5/hex bolts with slot on head grade ab gb-7;omniwheel-5/hex bolts with slot on head grade ab gb-8;omniwheel-5/hex bolts with slot on head grade ab gb-9;omniwheel-5/hex bolts with slot on head grade ab gb-10;omniwheel-5/hex bolts with slot on head grade ab gb-12;omniwheel-5/hex bolts with slot on head grade ab gb-11;omniwheel-5/hex bolts with slot on head grade ab gb-4,Origin_omniwheel3,基准轴3,omniwheel5,continuous,0.057417,-0.43864,-0.052798,1.8108,0.66219,2.4732,base_link,0,1,0,,,,,,,,,,,,
wheel51,3.8138E-07,3.8475E-11,9.4655E-11,0,0,0,0.0023,2.1874E-07,8.299E-16,2.0417E-15,2.4987E-07,-1.2984E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel51.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel51.STL,,omniwheel-5/wheel-1,Origin_wheel51,基准轴51,wheel51,continuous,0.0049082,-0.0091398,0.038616,-0.77436,-0.1869,3.0629,omniwheel5,1,0,0,,,,,,,,,,,,
wheel52,3.8163E-07,8.5901E-10,6.6989E-10,0,0,0,0.0023,2.1874E-07,1.8223E-14,1.4211E-14,2.4987E-07,-2.0378E-15,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel52.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel52.STL,,omniwheel-5/wheel-2,Origin_wheel52,基准轴52,wheel52,continuous,0.02838,-0.010748,0.024646,-0.78863,-0.8847,3.0892,omniwheel5,1,0,0,,,,,,,,,,,,
wheel53,3.7947E-07,-8.3539E-11,-4.3441E-11,0,0,0,0.0023,2.1874E-07,-2.0497E-15,-1.0658E-15,2.4987E-07,-1.3612E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel53.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel53.STL,,omniwheel-5/wheel-3,Origin_wheel53,基准轴53,wheel53,continuous,0.037441,-0.010847,-0.0011717,-2.774,-1.5425,-1.1994,omniwheel5,1,0,0,,,,,,,,,,,,
wheel54,3.8026E-07,3.3097E-10,2.9031E-10,0,0,0,0.0023,2.1874E-07,7.6936E-15,6.7484E-15,2.4987E-07,-3.5289E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel54.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel54.STL,,omniwheel-5/wheel-4,Origin_wheel54,基准轴54,wheel54,continuous,0.027852,-0.0093919,-0.026757,2.4321,-0.85986,-0.11302,omniwheel5,1,0,0,,,,,,,,,,,,
wheel55,3.8256E-07,3.3033E-10,9.252E-11,0,0,0,0.0023,2.1874E-07,6.5995E-15,1.8484E-15,2.4987E-07,-1.0558E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel55.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel55.STL,,omniwheel-5/wheel-5,Origin_wheel55,基准轴55,wheel55,continuous,0.0040992,-0.0070627,-0.040138,2.4189,-0.16205,-0.087648,omniwheel5,1,0,0,,,,,,,,,,,,
wheel56,3.8079E-07,4.1038E-11,-1.0457E-10,0,0,0,0.0023,2.1874E-07,9.2043E-16,-2.3454E-15,2.4987E-07,1.554E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel56.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel56.STL,,omniwheel-5/wheel-6,Origin_wheel56,基准轴56,wheel56,continuous,-0.022703,-0.0049495,-0.035053,2.4227,0.53584,-0.068393,omniwheel5,1,0,0,,,,,,,,,,,,
wheel57,3.7971E-07,9.2441E-11,9.9295E-10,0,0,0,0.0023,2.1874E-07,2.2314E-15,2.3968E-14,2.4987E-07,-3.4211E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel57.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel57.STL,,omniwheel-5/wheel-7,Origin_wheel57,基准轴57,wheel57,continuous,-0.040013,-0.0040411,-0.013883,2.4699,1.2332,-0.010988,omniwheel5,1,0,0,,,,,,,,,,,,
wheel58,3.8226E-07,2.0464E-10,3.773E-10,0,0,0,0.0023,2.1874E-07,4.1673E-15,7.6833E-15,2.4987E-07,-2.6887E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel58.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel58.STL,,omniwheel-5/wheel-8,Origin_wheel58,基准轴58,wheel58,continuous,-0.039732,-0.0047624,0.013468,-0.82026,1.2084,2.991,omniwheel5,1,0,0,,,,,,,,,,,,
